,# year,month,day,cycle,trend,date,value
0,2011,1,1,391.25,389.73,2011-01-01 12:00:00,391.25
1,2011,1,2,391.29,389.73,2011-01-02 12:00:00,391.29
2,2011,1,3,391.32,389.74,2011-01-03 12:00:00,391.32
3,2011,1,4,391.36,389.75,2011-01-04 12:00:00,391.36
4,2011,1,5,391.39,389.75,2011-01-05 12:00:00,391.39
5,2011,1,6,391.43,389.76,2011-01-06 12:00:00,391.43
6,2011,1,7,391.46,389.76,2011-01-07 12:00:00,391.46
7,2011,1,8,391.49,389.77,2011-01-08 12:00:00,391.49
8,2011,1,9,391.51,389.78,2011-01-09 12:00:00,391.51
9,2011,1,10,391.54,389.78,2011-01-10 12:00:00,391.54
10,2011,1,11,391.57,389.79,2011-01-11 12:00:00,391.57
11,2011,1,12,391.59,389.79,2011-01-12 12:00:00,391.59
12,2011,1,13,391.62,389.8,2011-01-13 12:00:00,391.62
13,2011,1,14,391.64,389.81,2011-01-14 12:00:00,391.64
14,2011,1,15,391.66,389.81,2011-01-15 12:00:00,391.66
15,2011,1,16,391.68,389.82,2011-01-16 12:00:00,391.68
16,2011,1,17,391.7,389.83,2011-01-17 12:00:00,391.7
17,2011,1,18,391.71,389.83,2011-01-18 12:00:00,391.71
18,2011,1,19,391.73,389.84,2011-01-19 12:00:00,391.73
19,2011,1,20,391.74,389.84,2011-01-20 12:00:00,391.74
20,2011,1,21,391.75,389.85,2011-01-21 12:00:00,391.75
21,2011,1,22,391.76,389.86,2011-01-22 12:00:00,391.76
22,2011,1,23,391.77,389.86,2011-01-23 12:00:00,391.77
23,2011,1,24,391.78,389.87,2011-01-24 12:00:00,391.78
24,2011,1,25,391.79,389.88,2011-01-25 12:00:00,391.79
25,2011,1,26,391.79,389.88,2011-01-26 12:00:00,391.79
26,2011,1,27,391.8,389.89,2011-01-27 12:00:00,391.8
27,2011,1,28,391.8,389.89,2011-01-28 12:00:00,391.8
28,2011,1,29,391.8,389.9,2011-01-29 12:00:00,391.8
29,2011,1,30,391.8,389.91,2011-01-30 12:00:00,391.8
30,2011,1,31,391.8,389.91,2011-01-31 12:00:00,391.8
31,2011,2,1,391.8,389.92,2011-02-01 12:00:00,391.8
32,2011,2,2,391.8,389.92,2011-02-02 12:00:00,391.8
33,2011,2,3,391.8,389.93,2011-02-03 12:00:00,391.8
34,2011,2,4,391.79,389.94,2011-02-04 12:00:00,391.79
35,2011,2,5,391.79,389.94,2011-02-05 12:00:00,391.79
36,2011,2,6,391.78,389.95,2011-02-06 12:00:00,391.78
37,2011,2,7,391.78,389.95,2011-02-07 12:00:00,391.78
38,2011,2,8,391.77,389.96,2011-02-08 12:00:00,391.77
39,2011,2,9,391.77,389.97,2011-02-09 12:00:00,391.77
40,2011,2,10,391.76,389.97,2011-02-10 12:00:00,391.76
41,2011,2,11,391.75,389.98,2011-02-11 12:00:00,391.75
42,2011,2,12,391.75,389.99,2011-02-12 12:00:00,391.75
43,2011,2,13,391.74,389.99,2011-02-13 12:00:00,391.74
44,2011,2,14,391.73,390.0,2011-02-14 12:00:00,391.73
45,2011,2,15,391.73,390.0,2011-02-15 12:00:00,391.73
46,2011,2,16,391.72,390.01,2011-02-16 12:00:00,391.72
47,2011,2,17,391.71,390.02,2011-02-17 12:00:00,391.71
48,2011,2,18,391.71,390.02,2011-02-18 12:00:00,391.71
49,2011,2,19,391.7,390.03,2011-02-19 12:00:00,391.7
50,2011,2,20,391.7,390.03,2011-02-20 12:00:00,391.7
51,2011,2,21,391.69,390.04,2011-02-21 12:00:00,391.69
52,2011,2,22,391.69,390.05,2011-02-22 12:00:00,391.69
53,2011,2,23,391.68,390.05,2011-02-23 12:00:00,391.68
54,2011,2,24,391.68,390.06,2011-02-24 12:00:00,391.68
55,2011,2,25,391.68,390.06,2011-02-25 12:00:00,391.68
56,2011,2,26,391.67,390.07,2011-02-26 12:00:00,391.67
57,2011,2,27,391.67,390.08,2011-02-27 12:00:00,391.67
58,2011,2,28,391.67,390.08,2011-02-28 12:00:00,391.67
59,2011,3,1,391.67,390.09,2011-03-01 12:00:00,391.67
60,2011,3,2,391.67,390.09,2011-03-02 12:00:00,391.67
61,2011,3,3,391.67,390.1,2011-03-03 12:00:00,391.67
62,2011,3,4,391.68,390.11,2011-03-04 12:00:00,391.68
63,2011,3,5,391.68,390.11,2011-03-05 12:00:00,391.68
64,2011,3,6,391.68,390.12,2011-03-06 12:00:00,391.68
65,2011,3,7,391.69,390.12,2011-03-07 12:00:00,391.69
66,2011,3,8,391.69,390.13,2011-03-08 12:00:00,391.69
67,2011,3,9,391.7,390.14,2011-03-09 12:00:00,391.7
68,2011,3,10,391.71,390.14,2011-03-10 12:00:00,391.71
69,2011,3,11,391.71,390.15,2011-03-11 12:00:00,391.71
70,2011,3,12,391.72,390.15,2011-03-12 12:00:00,391.72
71,2011,3,13,391.73,390.16,2011-03-13 12:00:00,391.73
72,2011,3,14,391.74,390.16,2011-03-14 12:00:00,391.74
73,2011,3,15,391.75,390.17,2011-03-15 12:00:00,391.75
74,2011,3,16,391.76,390.18,2011-03-16 12:00:00,391.76
75,2011,3,17,391.78,390.18,2011-03-17 12:00:00,391.78
76,2011,3,18,391.79,390.19,2011-03-18 12:00:00,391.79
77,2011,3,19,391.8,390.19,2011-03-19 12:00:00,391.8
78,2011,3,20,391.82,390.2,2011-03-20 12:00:00,391.82
79,2011,3,21,391.83,390.21,2011-03-21 12:00:00,391.83
80,2011,3,22,391.84,390.21,2011-03-22 12:00:00,391.84
81,2011,3,23,391.86,390.22,2011-03-23 12:00:00,391.86
82,2011,3,24,391.87,390.22,2011-03-24 12:00:00,391.87
83,2011,3,25,391.89,390.23,2011-03-25 12:00:00,391.89
84,2011,3,26,391.91,390.24,2011-03-26 12:00:00,391.91
85,2011,3,27,391.92,390.24,2011-03-27 12:00:00,391.92
86,2011,3,28,391.94,390.25,2011-03-28 12:00:00,391.94
87,2011,3,29,391.96,390.25,2011-03-29 12:00:00,391.96
88,2011,3,30,391.97,390.26,2011-03-30 12:00:00,391.97
89,2011,3,31,391.99,390.26,2011-03-31 12:00:00,391.99
90,2011,4,1,392.01,390.27,2011-04-01 12:00:00,392.01
91,2011,4,2,392.02,390.28,2011-04-02 12:00:00,392.02
92,2011,4,3,392.04,390.28,2011-04-03 12:00:00,392.04
93,2011,4,4,392.06,390.29,2011-04-04 12:00:00,392.06
94,2011,4,5,392.07,390.29,2011-04-05 12:00:00,392.07
95,2011,4,6,392.09,390.3,2011-04-06 12:00:00,392.09
96,2011,4,7,392.11,390.3,2011-04-07 12:00:00,392.11
97,2011,4,8,392.12,390.31,2011-04-08 12:00:00,392.12
98,2011,4,9,392.14,390.32,2011-04-09 12:00:00,392.14
99,2011,4,10,392.16,390.32,2011-04-10 12:00:00,392.16
100,2011,4,11,392.17,390.33,2011-04-11 12:00:00,392.17
101,2011,4,12,392.19,390.33,2011-04-12 12:00:00,392.19
102,2011,4,13,392.2,390.34,2011-04-13 12:00:00,392.2
103,2011,4,14,392.22,390.34,2011-04-14 12:00:00,392.22
104,2011,4,15,392.23,390.35,2011-04-15 12:00:00,392.23
105,2011,4,16,392.25,390.36,2011-04-16 12:00:00,392.25
106,2011,4,17,392.26,390.36,2011-04-17 12:00:00,392.26
107,2011,4,18,392.27,390.37,2011-04-18 12:00:00,392.27
108,2011,4,19,392.29,390.37,2011-04-19 12:00:00,392.29
109,2011,4,20,392.3,390.38,2011-04-20 12:00:00,392.3
110,2011,4,21,392.31,390.38,2011-04-21 12:00:00,392.31
111,2011,4,22,392.32,390.39,2011-04-22 12:00:00,392.32
112,2011,4,23,392.33,390.4,2011-04-23 12:00:00,392.33
113,2011,4,24,392.34,390.4,2011-04-24 12:00:00,392.34
114,2011,4,25,392.35,390.41,2011-04-25 12:00:00,392.35
115,2011,4,26,392.36,390.41,2011-04-26 12:00:00,392.36
116,2011,4,27,392.37,390.42,2011-04-27 12:00:00,392.37
117,2011,4,28,392.38,390.42,2011-04-28 12:00:00,392.38
118,2011,4,29,392.39,390.43,2011-04-29 12:00:00,392.39
119,2011,4,30,392.4,390.44,2011-04-30 12:00:00,392.4
120,2011,5,1,392.4,390.44,2011-05-01 12:00:00,392.4
121,2011,5,2,392.41,390.45,2011-05-02 12:00:00,392.41
122,2011,5,3,392.42,390.45,2011-05-03 12:00:00,392.42
123,2011,5,4,392.42,390.46,2011-05-04 12:00:00,392.42
124,2011,5,5,392.42,390.46,2011-05-05 12:00:00,392.42
125,2011,5,6,392.43,390.47,2011-05-06 12:00:00,392.43
126,2011,5,7,392.43,390.47,2011-05-07 12:00:00,392.43
127,2011,5,8,392.43,390.48,2011-05-08 12:00:00,392.43
128,2011,5,9,392.43,390.49,2011-05-09 12:00:00,392.43
129,2011,5,10,392.43,390.49,2011-05-10 12:00:00,392.43
130,2011,5,11,392.43,390.5,2011-05-11 12:00:00,392.43
131,2011,5,12,392.43,390.5,2011-05-12 12:00:00,392.43
132,2011,5,13,392.43,390.51,2011-05-13 12:00:00,392.43
133,2011,5,14,392.43,390.51,2011-05-14 12:00:00,392.43
134,2011,5,15,392.42,390.52,2011-05-15 12:00:00,392.42
135,2011,5,16,392.42,390.52,2011-05-16 12:00:00,392.42
136,2011,5,17,392.41,390.53,2011-05-17 12:00:00,392.41
137,2011,5,18,392.41,390.54,2011-05-18 12:00:00,392.41
138,2011,5,19,392.4,390.54,2011-05-19 12:00:00,392.4
139,2011,5,20,392.39,390.55,2011-05-20 12:00:00,392.39
140,2011,5,21,392.38,390.55,2011-05-21 12:00:00,392.38
141,2011,5,22,392.37,390.56,2011-05-22 12:00:00,392.37
142,2011,5,23,392.35,390.56,2011-05-23 12:00:00,392.35
143,2011,5,24,392.34,390.57,2011-05-24 12:00:00,392.34
144,2011,5,25,392.32,390.57,2011-05-25 12:00:00,392.32
145,2011,5,26,392.3,390.58,2011-05-26 12:00:00,392.3
146,2011,5,27,392.28,390.58,2011-05-27 12:00:00,392.28
147,2011,5,28,392.26,390.59,2011-05-28 12:00:00,392.26
148,2011,5,29,392.24,390.6,2011-05-29 12:00:00,392.24
149,2011,5,30,392.22,390.6,2011-05-30 12:00:00,392.22
150,2011,5,31,392.19,390.61,2011-05-31 12:00:00,392.19
151,2011,6,1,392.17,390.61,2011-06-01 12:00:00,392.17
152,2011,6,2,392.14,390.62,2011-06-02 12:00:00,392.14
153,2011,6,3,392.11,390.62,2011-06-03 12:00:00,392.11
154,2011,6,4,392.07,390.63,2011-06-04 12:00:00,392.07
155,2011,6,5,392.04,390.63,2011-06-05 12:00:00,392.04
156,2011,6,6,392.0,390.64,2011-06-06 12:00:00,392.0
157,2011,6,7,391.96,390.64,2011-06-07 12:00:00,391.96
158,2011,6,8,391.92,390.65,2011-06-08 12:00:00,391.92
159,2011,6,9,391.88,390.66,2011-06-09 12:00:00,391.88
160,2011,6,10,391.84,390.66,2011-06-10 12:00:00,391.84
161,2011,6,11,391.79,390.67,2011-06-11 12:00:00,391.79
162,2011,6,12,391.74,390.67,2011-06-12 12:00:00,391.74
163,2011,6,13,391.69,390.68,2011-06-13 12:00:00,391.69
164,2011,6,14,391.64,390.68,2011-06-14 12:00:00,391.64
165,2011,6,15,391.59,390.69,2011-06-15 12:00:00,391.59
166,2011,6,16,391.53,390.69,2011-06-16 12:00:00,391.53
167,2011,6,17,391.47,390.7,2011-06-17 12:00:00,391.47
168,2011,6,18,391.41,390.7,2011-06-18 12:00:00,391.41
169,2011,6,19,391.35,390.71,2011-06-19 12:00:00,391.35
170,2011,6,20,391.28,390.71,2011-06-20 12:00:00,391.28
171,2011,6,21,391.22,390.72,2011-06-21 12:00:00,391.22
172,2011,6,22,391.15,390.72,2011-06-22 12:00:00,391.15
173,2011,6,23,391.08,390.73,2011-06-23 12:00:00,391.08
174,2011,6,24,391.01,390.73,2011-06-24 12:00:00,391.01
175,2011,6,25,390.94,390.74,2011-06-25 12:00:00,390.94
176,2011,6,26,390.86,390.75,2011-06-26 12:00:00,390.86
177,2011,6,27,390.78,390.75,2011-06-27 12:00:00,390.78
178,2011,6,28,390.71,390.76,2011-06-28 12:00:00,390.71
179,2011,6,29,390.63,390.76,2011-06-29 12:00:00,390.63
180,2011,6,30,390.55,390.77,2011-06-30 12:00:00,390.55
181,2011,7,1,390.47,390.77,2011-07-01 12:00:00,390.47
182,2011,7,2,390.38,390.78,2011-07-02 12:00:00,390.38
183,2011,7,3,390.3,390.78,2011-07-03 12:00:00,390.3
184,2011,7,4,390.21,390.79,2011-07-04 12:00:00,390.21
185,2011,7,5,390.13,390.79,2011-07-05 12:00:00,390.13
186,2011,7,6,390.04,390.8,2011-07-06 12:00:00,390.04
187,2011,7,7,389.96,390.8,2011-07-07 12:00:00,389.96
188,2011,7,8,389.87,390.81,2011-07-08 12:00:00,389.87
189,2011,7,9,389.78,390.81,2011-07-09 12:00:00,389.78
190,2011,7,10,389.69,390.82,2011-07-10 12:00:00,389.69
191,2011,7,11,389.6,390.82,2011-07-11 12:00:00,389.6
192,2011,7,12,389.52,390.83,2011-07-12 12:00:00,389.52
193,2011,7,13,389.43,390.83,2011-07-13 12:00:00,389.43
194,2011,7,14,389.34,390.84,2011-07-14 12:00:00,389.34
195,2011,7,15,389.26,390.84,2011-07-15 12:00:00,389.26
