,date,value,new_cases,new_cases_smoothed
7603,2020-02-25,,2.0,
7604,2020-02-26,,0.0,
7605,2020-02-27,,1.0,
7606,2020-02-28,,0.0,
7607,2020-02-29,,6.0,
7608,2020-03-01,2.0,5.0,2.0
7609,2020-03-02,2.571,4.0,2.571
7610,2020-03-03,2.714,3.0,2.714
7611,2020-03-04,3.857,8.0,3.857
7612,2020-03-05,5.429,12.0,5.429
7613,2020-03-06,7.429,14.0,7.429
7614,2020-03-07,10.0,24.0,10.0
7615,2020-03-08,12.857,25.0,12.857
7616,2020-03-09,16.143,27.0,16.143
7617,2020-03-10,23.0,51.0,23.0
7618,2020-03-11,31.0,64.0,31.0
7619,2020-03-12,37.286,56.0,37.286
7620,2020-03-13,64.143,202.0,64.143
7621,2020-03-14,82.286,151.0,82.286
7622,2020-03-15,108.0,205.0,108.0
7623,2020-03-16,126.714,158.0,126.714
7624,2020-03-17,164.286,314.0,164.286
7625,2020-03-18,200.0,314.0,200.0
7626,2020-03-19,244.429,367.0,244.429
7627,2020-03-20,269.143,375.0,269.143
7628,2020-03-21,308.429,426.0,308.429
7629,2020-03-22,388.857,768.0,388.857
7630,2020-03-23,493.714,892.0,493.714
7631,2020-03-24,564.429,809.0,564.429
7632,2020-03-25,563.143,305.0,563.143
7633,2020-03-26,699.429,1321.0,699.429
7634,2020-03-27,752.714,748.0,752.714
7635,2020-03-28,779.571,614.0,779.571
7636,2020-03-29,743.714,517.0,743.714
7637,2020-03-30,734.857,830.0,734.857
7638,2020-03-31,699.571,562.0,699.571
7639,2020-04-01,731.857,531.0,731.857
7640,2020-04-02,602.857,418.0,602.857
7641,2020-04-03,552.429,395.0,552.429
7642,2020-04-04,501.429,257.0,501.429
7643,2020-04-05,466.143,270.0,466.143
7644,2020-04-06,382.714,246.0,382.714
7645,2020-04-07,351.286,342.0,351.286
7646,2020-04-08,318.714,303.0,318.714
7647,2020-04-09,302.143,302.0,302.143
7648,2020-04-10,290.143,311.0,290.143
7649,2020-04-11,289.286,251.0,289.286
7650,2020-04-12,270.571,139.0,270.571
7651,2020-04-13,249.143,96.0,249.143
7652,2020-04-14,226.714,185.0,226.714
7653,2020-04-15,199.143,110.0,199.143
7654,2020-04-16,176.0,140.0,176.0
7655,2020-04-17,148.571,119.0,148.571
7656,2020-04-18,123.571,76.0,123.571
7657,2020-04-19,114.857,78.0,114.857
7658,2020-04-20,107.714,46.0,107.714
7659,2020-04-21,92.429,78.0,92.429
7660,2020-04-22,84.143,52.0,84.143
7661,2020-04-23,75.143,77.0,75.143
7662,2020-04-24,68.0,69.0,68.0
7663,2020-04-25,68.143,77.0,68.143
7664,2020-04-26,68.0,77.0,68.0
7665,2020-04-27,68.429,49.0,68.429
7666,2020-04-28,69.143,83.0,69.143
7667,2020-04-29,68.143,45.0,68.143
7668,2020-04-30,64.286,50.0,64.286
7669,2020-05-01,65.714,79.0,65.714
7670,2020-05-02,58.571,27.0,58.571
7671,2020-05-03,53.143,39.0,53.143
7672,2020-05-04,49.571,24.0,49.571
7673,2020-05-05,41.857,29.0,41.857
7674,2020-05-06,40.286,34.0,40.286
7675,2020-05-07,42.857,68.0,42.857
7676,2020-05-08,34.714,22.0,34.714
7677,2020-05-09,39.286,59.0,39.286
7678,2020-05-10,39.143,38.0,39.143
7679,2020-05-11,37.286,11.0,37.286
7680,2020-05-12,44.429,79.0,44.429
7681,2020-05-13,44.714,36.0,44.714
7682,2020-05-14,43.714,61.0,43.714
7683,2020-05-15,47.857,51.0,47.857
7684,2020-05-16,52.571,92.0,52.571
7685,2020-05-17,53.0,41.0,53.0
7686,2020-05-18,55.286,27.0,55.286
7687,2020-05-19,51.429,52.0,51.429
7688,2020-05-20,50.857,32.0,50.857
7689,2020-05-21,49.429,51.0,49.429
7690,2020-05-22,46.714,32.0,46.714
7691,2020-05-23,40.714,50.0,40.714
7692,2020-05-24,37.286,17.0,37.286
7693,2020-05-25,38.571,36.0,38.571
7694,2020-05-26,33.714,18.0,33.714
7695,2020-05-27,34.0,34.0,34.0
7696,2020-05-28,32.0,37.0,32.0
7697,2020-05-29,31.286,27.0,31.286
7698,2020-05-30,28.429,30.0,28.429
7699,2020-05-31,32.571,46.0,32.571
7700,2020-06-01,27.714,2.0,27.714
7701,2020-06-02,28.857,26.0,28.857
7702,2020-06-03,25.714,12.0,25.714
7703,2020-06-04,25.286,34.0,25.286
7704,2020-06-05,26.857,38.0,26.857
7705,2020-06-06,30.429,55.0,30.429
7706,2020-06-07,24.429,4.0,24.429
7707,2020-06-08,33.571,66.0,33.571
7708,2020-06-09,31.429,11.0,31.429
7709,2020-06-10,33.429,26.0,33.429
7710,2020-06-11,32.714,29.0,32.714
7711,2020-06-12,31.571,30.0,31.571
7712,2020-06-13,25.714,14.0,25.714
7713,2020-06-14,29.571,31.0,29.571
7714,2020-06-15,23.857,26.0,23.857
7715,2020-06-16,30.0,54.0,30.0
7716,2020-06-17,28.286,14.0,28.286
7717,2020-06-18,27.0,20.0,27.0
7718,2020-06-19,29.571,48.0,29.571
7719,2020-06-20,35.0,52.0,35.0
7720,2020-06-21,33.143,18.0,33.143
7721,2020-06-22,35.0,39.0,35.0
7722,2020-06-23,31.286,28.0,31.286
7723,2020-06-24,35.143,41.0,35.143
7724,2020-06-25,36.286,28.0,36.286
7725,2020-06-26,35.857,45.0,35.857
7726,2020-06-27,36.714,58.0,36.714
7727,2020-06-28,44.714,74.0,44.714
7728,2020-06-29,49.0,69.0,49.0
7729,2020-06-30,51.143,43.0,51.143
7730,2020-07-01,60.571,107.0,60.571
7731,2020-07-02,66.286,68.0,66.286
7732,2020-07-03,75.429,109.0,75.429
7733,2020-07-04,83.571,115.0,83.571
7734,2020-07-05,89.429,115.0,89.429
7735,2020-07-06,91.714,85.0,91.714
7736,2020-07-07,93.571,56.0,93.571
7737,2020-07-08,91.429,92.0,91.429
7738,2020-07-09,96.286,102.0,96.286
7739,2020-07-10,94.143,94.0,94.143
7740,2020-07-11,88.286,74.0,88.286
7741,2020-07-12,88.143,114.0,88.143
7742,2020-07-13,83.286,51.0,83.286
7743,2020-07-14,85.714,73.0,85.714
7744,2020-07-15,91.571,133.0,91.571
7745,2020-07-16,93.571,116.0,93.571
7746,2020-07-17,104.286,169.0,104.286
7747,2020-07-18,112.857,134.0,112.857
7748,2020-07-19,108.286,82.0,108.286
7749,2020-07-20,113.571,88.0,113.571
7750,2020-07-21,115.143,84.0,115.143
7751,2020-07-22,110.714,102.0,110.714
7752,2020-07-23,118.429,170.0,118.429
7753,2020-07-24,110.714,115.0,110.714
7754,2020-07-25,109.286,124.0,109.286
7755,2020-07-26,116.714,134.0,116.714
7756,2020-07-27,116.429,86.0,116.429
7757,2020-07-28,121.429,119.0,121.429
7758,2020-07-29,131.571,173.0,131.571
7759,2020-07-30,122.286,105.0,122.286
7760,2020-07-31,130.857,175.0,130.857
7761,2020-08-01,124.857,82.0,124.857
7762,2020-08-02,118.857,92.0,118.857
7763,2020-08-03,118.143,81.0,118.143
7764,2020-08-04,114.857,96.0,114.857
7765,2020-08-05,102.286,85.0,102.286
7766,2020-08-06,105.857,130.0,105.857
7767,2020-08-07,101.0,141.0,101.0
7768,2020-08-08,101.0,82.0,101.0
7769,2020-08-09,104.143,114.0,104.143
7770,2020-08-10,103.0,73.0,103.0
7771,2020-08-11,109.143,139.0,109.143
7772,2020-08-12,124.714,194.0,124.714
7773,2020-08-13,128.286,155.0,128.286
7774,2020-08-14,148.429,282.0,148.429
7775,2020-08-15,180.0,303.0,180.0
7776,2020-08-16,191.0,191.0,191.0
7777,2020-08-17,204.0,164.0,204.0
7778,2020-08-18,226.286,295.0,226.286
7779,2020-08-19,235.0,255.0,235.0
7780,2020-08-20,262.429,347.0,262.429
7781,2020-08-21,269.429,331.0,269.429
7782,2020-08-22,269.0,300.0,269.0
7783,2020-08-23,269.0,191.0,269.0
7784,2020-08-24,280.143,242.0,280.143
7785,2020-08-25,268.143,211.0,268.143
7786,2020-08-26,278.429,327.0,278.429
7787,2020-08-27,275.714,328.0,275.714
7788,2020-08-28,261.143,229.0,261.143
7789,2020-08-29,274.714,395.0,274.714
7790,2020-08-30,273.286,181.0,273.286
7791,2020-08-31,277.571,272.0,277.571
7792,2020-09-01,276.571,204.0,276.571
7793,2020-09-02,276.571,327.0,276.571
7794,2020-09-03,287.286,403.0,287.286
7795,2020-09-04,305.571,357.0,305.571
7796,2020-09-05,300.286,358.0,300.286
7797,2020-09-06,300.714,184.0,300.714
7798,2020-09-07,303.286,290.0,303.286
7799,2020-09-08,348.429,520.0,348.429
7800,2020-09-09,373.429,502.0,373.429
7801,2020-09-10,410.714,664.0,410.714
7802,2020-09-11,442.571,580.0,442.571
7803,2020-09-12,515.571,869.0,515.571
7804,2020-09-13,555.429,463.0,555.429
7805,2020-09-14,568.571,382.0,568.571
7806,2020-09-15,603.429,764.0,603.429
7807,2020-09-16,641.429,768.0,641.429
7808,2020-09-17,658.0,780.0,658.0
7809,2020-09-18,690.571,808.0,690.571
7810,2020-09-19,682.571,813.0,682.571
7811,2020-09-20,705.143,621.0,705.143
7812,2020-09-21,731.0,563.0,731.0
7813,2020-09-22,714.0,645.0,714.0
7814,2020-09-23,701.571,681.0,701.571
7815,2020-09-24,709.0,832.0,709.0
7816,2020-09-25,691.286,684.0,691.286
7817,2020-09-26,677.143,714.0,677.143
7818,2020-09-27,683.0,662.0,683.0
7819,2020-09-28,682.0,556.0,682.0
7820,2020-09-29,676.857,609.0,676.857
7821,2020-09-30,689.857,772.0,689.857
7822,2020-10-01,695.714,873.0,695.714
7823,2020-10-02,696.286,688.0,696.286
7824,2020-10-03,745.429,1058.0,745.429
7825,2020-10-04,752.857,714.0,752.857
7826,2020-10-05,780.571,750.0,780.571
7827,2020-10-06,825.429,923.0,825.429
7828,2020-10-07,862.143,1029.0,862.143
7829,2020-10-08,910.143,1209.0,910.143
7830,2020-10-09,973.429,1131.0,973.429
7831,2020-10-10,998.714,1235.0,998.714
7832,2020-10-11,1024.714,896.0,1024.714
7833,2020-10-12,1057.429,979.0,1057.429
7834,2020-10-13,1072.429,1028.0,1072.429
7835,2020-10-14,1117.714,1346.0,1117.714
7836,2020-10-15,1166.714,1552.0,1166.714
7837,2020-10-16,1171.286,1163.0,1171.286
7838,2020-10-17,1244.429,1747.0,1244.429
7839,2020-10-18,1355.286,1672.0,1355.286
7840,2020-10-19,1375.571,1121.0,1375.571
7841,2020-10-20,1446.429,1524.0,1446.429
7842,2020-10-21,1533.857,1958.0,1533.857
7843,2020-10-22,1660.0,2435.0,1660.0
7844,2020-10-23,1861.143,2571.0,1861.143
7845,2020-10-24,2127.857,3614.0,2127.857
7846,2020-10-25,2286.429,2782.0,2286.429
7847,2020-10-26,2477.143,2456.0,2477.143
7848,2020-10-27,2664.429,2835.0,2664.429
7849,2020-10-28,2869.571,3394.0,2869.571
7850,2020-10-29,3157.857,4453.0,3157.857
7851,2020-10-30,3594.429,5627.0,3594.429
7852,2020-10-31,3842.286,5349.0,3842.286
7853,2020-11-01,4152.857,4956.0,4152.857
7854,2020-11-02,4392.714,4135.0,4392.714
7855,2020-11-03,4585.143,4182.0,4585.143
7856,2020-11-04,5086.143,6901.0,5086.143
7857,2020-11-05,5509.429,7416.0,5509.429
7858,2020-11-06,5629.0,6464.0,5629.0
7859,2020-11-07,6042.143,8241.0,6042.143
7860,2020-11-08,6181.714,5933.0,6181.714
7861,2020-11-09,6390.0,5593.0,6390.0
7862,2020-11-10,6666.857,6120.0,6666.857
7863,2020-11-11,6754.429,7514.0,6754.429
7864,2020-11-12,7018.143,9262.0,7018.143
7865,2020-11-13,7464.143,9586.0,7464.143
7866,2020-11-14,7295.857,7063.0,7295.857
7867,2020-11-15,7257.571,5665.0,7257.571
7868,2020-11-16,7123.857,4657.0,7123.857
7869,2020-11-17,7104.429,5984.0,7104.429
7870,2020-11-18,7044.0,7091.0,7044.0
7871,2020-11-19,6720.143,6995.0,6720.143
7872,2020-11-20,6303.286,6668.0,6303.286
7873,2020-11-21,6238.714,6611.0,6238.714
7874,2020-11-22,6176.0,5226.0,6176.0
7875,2020-11-23,5960.0,3145.0,5960.0
7876,2020-11-24,5730.429,4377.0,5730.429
7877,2020-11-25,5546.286,5802.0,5546.286
7878,2020-11-26,5336.429,5526.0,5336.429
7879,2020-11-27,5091.571,4954.0,5091.571
7880,2020-11-28,4814.143,4669.0,4814.143
7881,2020-11-29,4645.714,4047.0,4645.714
7882,2020-11-30,4589.0,2748.0,4589.0
7883,2020-12-01,4397.0,3033.0,4397.0
7884,2020-12-02,4135.571,3972.0,4135.571
7885,2020-12-03,3913.143,3969.0,3913.143
7886,2020-12-04,3750.429,3815.0,3750.429
7887,2020-12-05,3575.429,3444.0,3575.429
7888,2020-12-06,3388.857,2741.0,3388.857
7889,2020-12-07,3319.571,2263.0,3319.571
7890,2020-12-08,3225.857,2377.0,3225.857
7891,2020-12-09,3077.286,2932.0,3077.286
7892,2020-12-10,2894.0,2686.0,2894.0
7893,2020-12-11,2762.286,2893.0,2762.286
7894,2020-12-12,2733.286,3241.0,2733.286
7895,2020-12-13,2719.0,2641.0,2719.0
7896,2020-12-14,2765.429,2588.0,2765.429
7897,2020-12-15,2801.286,2628.0,2801.286
7898,2020-12-16,2763.0,2664.0,2763.0
7899,2020-12-17,2734.286,2485.0,2734.286
7900,2020-12-18,2618.857,2085.0,2618.857
7901,2020-12-19,2483.857,2296.0,2483.857
7902,2020-12-20,2341.571,1645.0,2341.571
7903,2020-12-21,2188.857,1519.0,2188.857
7904,2020-12-22,2078.143,1853.0,2078.143
7905,2020-12-23,2002.0,2131.0,2002.0
7906,2020-12-24,2053.714,2847.0,2053.714
7907,2020-12-25,2020.286,1851.0,2020.286
7908,2020-12-26,1896.429,1429.0,1896.429
7909,2020-12-27,1862.571,1408.0,1862.571
7910,2020-12-28,1873.0,1592.0,1873.0
7911,2020-12-29,1875.143,1868.0,1875.143
7912,2020-12-30,1935.0,2550.0,1935.0
7913,2020-12-31,1944.429,2913.0,1944.429
7914,2021-01-01,1979.429,2096.0,1979.429
7915,2021-01-02,1974.0,1391.0,1974.0
7916,2021-01-03,1982.286,1466.0,1982.286
7917,2021-01-04,1989.429,1642.0,1989.429
7918,2021-01-05,2052.714,2311.0,2052.714
