bnds,year,height,lat_bnds,lon_bnds,tas,climatology
1.0,1850,2.0,-0.5,179.375,277.22864,-0.09561157
1.0,1851,2.0,-0.5,179.375,277.0354,-0.28884888
1.0,1852,2.0,-0.5,179.375,277.2297,-0.09454346
1.0,1853,2.0,-0.5,179.375,277.317,-0.0072631836
1.0,1854,2.0,-0.5,179.375,277.14392,-0.18032837
1.0,1855,2.0,-0.5,179.375,277.11798,-0.20626831
1.0,1856,2.0,-0.5,179.375,277.32153,-0.0027160645
1.0,1857,2.0,-0.5,179.375,277.4718,0.14755249
1.0,1858,2.0,-0.5,179.375,277.28098,-0.043273926
1.0,1859,2.0,-0.5,179.375,277.32846,0.004211426
1.0,1860,2.0,-0.5,179.375,277.1768,-0.14746094
1.0,1861,2.0,-0.5,179.375,277.06512,-0.25912476
1.0,1862,2.0,-0.5,179.375,277.2293,-0.094940186
1.0,1863,2.0,-0.5,179.375,277.20972,-0.11453247
1.0,1864,2.0,-0.5,179.375,277.33875,0.01449585
1.0,1865,2.0,-0.5,179.375,277.31277,-0.011474609
1.0,1866,2.0,-0.5,179.375,277.40802,0.08377075
1.0,1867,2.0,-0.5,179.375,277.30685,-0.01739502
1.0,1868,2.0,-0.5,179.375,277.28595,-0.03829956
1.0,1869,2.0,-0.5,179.375,277.3715,0.04724121
1.0,1870,2.0,-0.5,179.375,277.43475,0.11050415
1.0,1871,2.0,-0.5,179.375,277.39047,0.066223145
1.0,1872,2.0,-0.5,179.375,277.3213,-0.002960205
1.0,1873,2.0,-0.5,179.375,277.38293,0.058685303
1.0,1874,2.0,-0.5,179.375,277.2969,-0.02734375
1.0,1875,2.0,-0.5,179.375,277.44577,0.121520996
1.0,1876,2.0,-0.5,179.375,277.22687,-0.09738159
1.0,1877,2.0,-0.5,179.375,277.32098,-0.0032653809
1.0,1878,2.0,-0.5,179.375,277.26508,-0.059173584
1.0,1879,2.0,-0.5,179.375,277.54593,0.22167969
1.0,1880,2.0,-0.5,179.375,277.25992,-0.064331055
1.0,1881,2.0,-0.5,179.375,277.28256,-0.04168701
1.0,1882,2.0,-0.5,179.375,277.2076,-0.11663818
1.0,1883,2.0,-0.5,179.375,277.37094,0.046691895
1.0,1884,2.0,-0.5,179.375,276.93225,-0.3919983
1.0,1885,2.0,-0.5,179.375,276.92792,-0.3963318
1.0,1886,2.0,-0.5,179.375,277.03433,-0.289917
1.0,1887,2.0,-0.5,179.375,277.1744,-0.14984131
1.0,1888,2.0,-0.5,179.375,277.32257,-0.0016784668
1.0,1889,2.0,-0.5,179.375,277.39496,0.07070923
1.0,1890,2.0,-0.5,179.375,277.3567,0.032440186
1.0,1891,2.0,-0.5,179.375,277.52084,0.19659424
1.0,1892,2.0,-0.5,179.375,277.39554,0.07128906
1.0,1893,2.0,-0.5,179.375,277.48474,0.16049194
1.0,1894,2.0,-0.5,179.375,277.4496,0.1253357
1.0,1895,2.0,-0.5,179.375,277.49362,0.16937256
1.0,1896,2.0,-0.5,179.375,277.63266,0.30841064
1.0,1897,2.0,-0.5,179.375,277.58337,0.25912476
1.0,1898,2.0,-0.5,179.375,277.5644,0.24014282
1.0,1899,2.0,-0.5,179.375,277.5947,0.27044678
1.0,1900,2.0,-0.5,179.375,277.74265,0.418396
1.0,1901,2.0,-0.5,179.375,277.5146,0.19033813
1.0,1902,2.0,-0.5,179.375,277.4286,0.1043396
1.0,1903,2.0,-0.5,179.375,277.33728,0.013031006
1.0,1904,2.0,-0.5,179.375,277.6743,0.35003662
1.0,1905,2.0,-0.5,179.375,277.7777,0.4534607
1.0,1906,2.0,-0.5,179.375,277.68988,0.3656311
1.0,1907,2.0,-0.5,179.375,277.5723,0.24804688
1.0,1908,2.0,-0.5,179.375,277.51886,0.1946106
1.0,1909,2.0,-0.5,179.375,277.80698,0.48272705
1.0,1910,2.0,-0.5,179.375,277.83862,0.5143738
1.0,1911,2.0,-0.5,179.375,277.81354,0.48928833
1.0,1912,2.0,-0.5,179.375,277.36096,0.036712646
1.0,1913,2.0,-0.5,179.375,277.24704,-0.07720947
1.0,1914,2.0,-0.5,179.375,277.5631,0.23886108
1.0,1915,2.0,-0.5,179.375,277.6585,0.33425903
