year,height,tas,climatology
1861,2.0,276.08237,-1.1026001
1862,2.0,276.16583,-1.0191345
1863,2.0,276.207,-0.9779663
1864,2.0,276.22464,-0.96032715
1865,2.0,276.32242,-0.8625488
1866,2.0,276.32898,-0.85598755
1867,2.0,276.2456,-0.9393616
1868,2.0,276.34235,-0.84262085
1869,2.0,276.31375,-0.8712158
1870,2.0,276.34177,-0.8432007
1871,2.0,276.2129,-0.9720764
1872,2.0,276.30075,-0.8842163
1873,2.0,276.24252,-0.94244385
1874,2.0,276.31653,-0.8684387
1875,2.0,276.31598,-0.86898804
1876,2.0,276.2401,-0.94485474
1877,2.0,276.1696,-1.0153809
1878,2.0,276.2631,-0.921875
1879,2.0,276.42288,-0.76208496
1880,2.0,276.5788,-0.60617065
1881,2.0,276.22504,-0.9599304
1882,2.0,276.5157,-0.669281
1883,2.0,276.4626,-0.7223816
1884,2.0,276.2813,-0.903656
1885,2.0,276.14377,-1.0411987
1886,2.0,276.52316,-0.6618042
1887,2.0,276.50903,-0.67593384
1888,2.0,276.78952,-0.39544678
1889,2.0,276.70663,-0.47833252
1890,2.0,276.57346,-0.61151123
1891,2.0,276.4072,-0.777771
1892,2.0,276.5846,-0.6003723
1893,2.0,276.52948,-0.65548706
1894,2.0,276.55334,-0.6316223
1895,2.0,276.52377,-0.66119385
1896,2.0,276.41068,-0.774292
1897,2.0,276.46878,-0.7161865
1898,2.0,276.44644,-0.7385254
1899,2.0,276.6107,-0.5742798
1900,2.0,276.4648,-0.7201538
1901,2.0,276.61957,-0.56539917
1902,2.0,276.68182,-0.5031433
1903,2.0,276.48584,-0.6991272
1904,2.0,276.39398,-0.7909851
1905,2.0,276.38892,-0.796051
1906,2.0,276.5142,-0.67077637
1907,2.0,276.44247,-0.7424927
1908,2.0,276.3109,-0.87405396
1909,2.0,276.3152,-0.8697815
1910,2.0,276.47116,-0.71380615
1911,2.0,276.54117,-0.6437988
1912,2.0,276.5489,-0.6360779
1913,2.0,276.4635,-0.72146606
1914,2.0,276.66406,-0.52090454
1915,2.0,276.64062,-0.54434204
1916,2.0,276.7058,-0.4791565
1917,2.0,276.66058,-0.52438354
1918,2.0,276.5985,-0.5864563
1919,2.0,276.5472,-0.63775635
1920,2.0,276.5339,-0.651062
1921,2.0,276.59207,-0.5928955
1922,2.0,276.50916,-0.67581177
1923,2.0,276.61795,-0.5670166
1924,2.0,276.8427,-0.34225464
1925,2.0,276.98676,-0.19821167
1926,2.0,276.91943,-0.26553345
1927,2.0,276.9069,-0.27807617
1928,2.0,276.9541,-0.23086548
1929,2.0,277.05737,-0.127594
1930,2.0,276.80725,-0.37771606
1931,2.0,277.0636,-0.12136841
1932,2.0,277.08334,-0.101623535
1933,2.0,277.15808,-0.026885986
1934,2.0,276.7765,-0.40847778
1935,2.0,276.84604,-0.33892822
1936,2.0,276.95157,-0.23339844
1937,2.0,276.79337,-0.39160156
1938,2.0,276.87686,-0.30810547
1939,2.0,277.0162,-0.1687622
1940,2.0,276.96707,-0.21789551
1941,2.0,276.85413,-0.33084106
1942,2.0,276.94635,-0.23861694
1943,2.0,276.79413,-0.39083862
1944,2.0,276.72318,-0.461792
1945,2.0,276.82468,-0.36029053
1946,2.0,276.82123,-0.363739
1947,2.0,276.95807,-0.2268982
1948,2.0,277.0637,-0.121276855
1949,2.0,277.0772,-0.10775757
1950,2.0,277.02386,-0.1611023
1951,2.0,277.0625,-0.12246704
1952,2.0,276.8531,-0.33187866
1953,2.0,277.0313,-0.153656
1954,2.0,277.1352,-0.04977417
1955,2.0,277.21567,0.030700684
1956,2.0,276.8966,-0.2883606
1957,2.0,276.97552,-0.20944214
1958,2.0,277.1444,-0.04055786
1959,2.0,277.27222,0.087249756
1960,2.0,277.29126,0.106292725
1961,2.0,277.2182,0.033233643
1962,2.0,277.1919,0.0069274902
1963,2.0,277.21674,0.0317688
1964,2.0,277.24667,0.061706543
1965,2.0,277.08884,-0.09613037
1966,2.0,277.29996,0.114990234
1967,2.0,277.23404,0.049072266
1968,2.0,277.34286,0.15789795
1969,2.0,277.29672,0.11175537
1970,2.0,277.19022,0.0052490234
1971,2.0,277.23013,0.045166016
1972,2.0,277.25446,0.069488525
1973,2.0,277.19684,0.011871338
1974,2.0,277.29434,0.109375
1975,2.0,277.27887,0.09390259
1976,2.0,277.1982,0.013244629
1977,2.0,277.23874,0.053771973
1978,2.0,277.19235,0.007385254
1979,2.0,277.12888,-0.05609131
1980,2.0,277.33157,0.14660645
1981,2.0,277.16943,-0.015533447
1982,2.0,277.3679,0.18292236
1983,2.0,277.18826,0.0032958984
1984,2.0,277.1496,-0.035369873
1985,2.0,277.30084,0.115875244
1986,2.0,277.08228,-0.10269165
1987,2.0,277.18793,0.002960205
1988,2.0,277.25613,0.07116699
1989,2.0,277.30478,0.11981201
1990,2.0,277.30295,0.11798096
1991,2.0,277.25186,0.06689453
1992,2.0,277.32587,0.14089966
1993,2.0,277.1158,-0.06915283
1994,2.0,277.37952,0.19454956
1995,2.0,277.4406,0.25564575
1996,2.0,277.51657,0.331604
1997,2.0,277.55115,0.36618042
1998,2.0,277.43106,0.24609375
1999,2.0,277.62762,0.44265747
2000,2.0,277.4379,0.2529297
2001,2.0,277.64728,0.4623108
2002,2.0,277.6777,0.49273682
2003,2.0,277.6252,0.44024658
2004,2.0,277.70197,0.5169983
2005,2.0,277.83234,0.6473694
2006,2.0,277.67084,0.48587036
2007,2.0,277.96335,0.77838135
