year,month,value
1750,2,-0.913
1750,3,-0.942
1750,4,-0.974
1750,5,-1.291
1750,6,-1.285
1750,7,-1.362
1750,8,-1.511
1750,9,-1.513
1750,10,-1.609
1750,11,-1.552
1750,12,-1.584
1751,1,-1.485
1751,2,-1.524
1751,3,-1.544
1751,4,-1.587
1751,5,-1.471
1751,6,-1.385
1751,7,-1.528
1751,8,-1.107
1751,9,-1.106
1751,10,-1.123
1751,11,-1.053
1751,12,-0.908
1752,1,-0.925
1752,2,-0.987
1753,3,-0.766
1753,4,-0.703
1753,5,-0.803
1753,6,-1.048
1753,7,-1.03
1753,8,-1.15
1753,9,-1.33
1753,10,-0.981
1753,11,-0.916
1753,12,-0.884
1754,1,-0.848
1754,2,-0.879
1754,3,-0.908
1754,4,-0.858
1754,5,-0.785
1754,6,-0.472
1754,7,-0.499
1754,8,-0.456
1754,9,-0.491
1754,10,-0.759
1754,11,-0.802
1754,12,-0.759
1755,1,-0.736
1755,2,-0.735
1755,3,-0.712
1755,4,-0.563
1755,5,-0.631
1755,6,-0.799
1755,7,-0.669
1755,8,-0.253
1755,9,-0.163
1755,10,-0.098
1755,11,-0.045
1755,12,-0.079
1756,1,-0.158
1756,2,-0.149
1756,3,-0.097
1756,4,-0.355
1756,5,-0.443
1756,6,-0.521
1756,7,-0.798
1756,8,-0.926
1756,9,-0.941
1756,10,-1.021
1756,11,-1.059
1756,12,-0.89
1757,1,-0.691
1757,2,-0.388
1757,3,-0.213
1757,4,-0.419
1757,5,-0.409
1757,6,-0.399
1757,7,-0.565
1757,8,-0.899
1757,9,-0.968
1757,10,-1.087
1757,11,-1.348
1757,12,-1.62
1758,1,-1.901
1758,2,-2.348
1758,3,-2.664
1758,4,-2.628
1758,5,-2.543
1758,6,-2.445
1758,7,-1.956
1758,8,-1.625
1758,9,-1.556
1758,10,-1.608
1758,11,-1.553
1758,12,-1.472
1759,1,-1.547
1759,2,-1.308
1759,3,-1.163
1759,4,-1.042
1759,5,-1.187
1759,6,-1.442
1759,7,-1.922
1759,8,-2.04
1759,9,-2.247
1759,10,-2.225
1759,11,-2.187
1759,12,-2.337
1760,1,-2.358
1760,2,-2.478
1760,3,-2.596
1760,4,-2.66
1760,5,-2.525
1760,6,-2.371
1760,7,-2.218
1760,8,-2.297
1760,9,-1.984
1760,10,-1.926
1760,11,-1.7
1760,12,-1.322
1761,1,-0.809
1761,2,-0.703
1761,3,-0.552
1761,4,-0.594
1761,5,-0.593
1761,6,-0.832
1761,7,-0.381
1761,8,-0.201
1761,9,-0.387
1761,10,-0.3
1761,11,-0.502
1761,12,-0.81
1762,1,-1.223
1762,2,-1.213
1762,3,-1.361
1762,4,-1.343
1762,5,-1.245
1762,6,-0.904
1762,7,-1.367
1762,8,-1.664
1762,9,-1.851
1762,10,-1.968
1762,11,-2.004
1762,12,-2.081
1763,1,-1.827
1763,2,-1.904
1763,3,-1.831
1763,4,-1.825
1763,5,-2.006
1763,6,-1.942
1763,7,-1.876
1763,8,-1.454
1763,9,-1.166
1763,10,-1.129
1763,11,-1.097
1763,12,-1.135
1764,1,-1.404
1764,2,-1.416
1764,3,-1.417
