,year,price,inflated
0,1861,0.49,14.411647802301454
1,1862,1.05,26.905419508587396
2,1863,3.15,64.70167643765232
3,1864,8.06,132.86515436667372
4,1865,6.59,104.63365700901268
5,1866,3.74,60.876470219763014
6,1867,2.41,42.14506253154619
7,1868,3.63,66.16262742576572
8,1869,3.64,69.26818259489808
9,1870,3.86,76.26110752075017
10,1871,4.34,92.06770120416354
11,1872,3.64,77.21807197768555
12,1873,1.83,39.46828261170286
13,1874,1.17,26.562109210047325
14,1875,1.35,31.763249830227117
15,1876,2.56,61.91915606577723
16,1877,2.42,59.64799778673623
17,1878,1.19,30.799052954847276
18,1879,0.86,22.258139110225763
19,1880,0.95,24.105293351778013
20,1881,0.86,21.82163398160957
21,1882,0.78,19.791714541459843
22,1883,1.0,25.624209055797518
23,1884,0.84,22.184266960277803
24,1885,0.88,23.479291520492858
25,1886,0.71,19.549042825607064
26,1887,0.67,18.252670802026913
27,1888,0.88,23.973657172811464
28,1889,0.94,26.444581378563694
29,1890,0.87,24.743184056913535
30,1891,0.67,19.055095767967895
31,1892,0.56,15.926647209047793
32,1893,0.64,18.405002305634973
33,1894,0.84,25.280343596177975
34,1895,1.36,41.904798418972334
35,1896,1.18,36.35857509881423
36,1897,0.79,24.633859
37,1898,0.91,28.375711000000003
38,1899,1.29,40.224909000000004
39,1900,1.19,36.66669861660079
40,1901,0.96,29.230364222243924
41,1902,0.8,24.076517710645692
42,1903,0.94,27.646834559517075
43,1904,0.86,25.008492026485122
44,1905,0.62,18.23514619883041
45,1906,0.73,20.99320575486489
46,1907,0.72,19.824381456953642
47,1908,0.72,20.255424034644534
48,1909,0.7,19.90830901130974
49,1910,0.61,16.618103267517036
50,1911,0.61,16.618103267517036
51,1912,0.74,19.743949687687174
52,1913,0.95,24.834838195841716
53,1914,0.81,20.96406125498008
54,1915,0.64,16.399493795710413
55,1916,1.1,26.117650194167364
56,1917,1.56,31.542002334327588
57,1918,1.98,33.936435991865004
58,1919,2.01,30.070537350669287
59,1920,3.07,39.728190156042494
60,1921,1.73,25.01392608735973
61,1922,1.61,24.802717751099255
62,1923,1.34,20.281532860887292
63,1924,1.43,21.643725366469273
64,1925,1.68,24.84629482071713
65,1926,1.88,27.489963892145365
66,1927,1.3,19.33635279526808
67,1928,1.17,17.70850257256577
68,1929,1.27,19.222049800990195
69,1930,1.19,18.44269333996024
70,1931,0.65,11.06774695571452
71,1932,0.87,16.435494365685205
72,1933,0.67,13.338445380833814
73,1934,1.0,19.31378135645711
74,1935,0.97,18.324631649097295
75,1936,1.09,20.29527019764734
76,1937,1.18,21.208644878667357
77,1938,1.13,20.74156639981163
78,1939,1.02,18.99190422165164
79,1940,1.02,18.856786624770265
80,1941,1.14,20.07091299192592
81,1942,1.19,18.894393299047813
82,1943,1.2,17.952559612339876
83,1944,1.21,17.79313416647017
84,1945,1.05,15.09715728316503
85,1946,1.12,14.86505150251128
86,1947,1.9,22.05158372724904
87,1948,1.99,21.370842746934837
88,1949,1.78,19.356281778552745
89,1950,1.71,18.3638899986224
90,1951,1.71,17.021992338387868
91,1952,1.71,16.700510836882987
92,1953,1.93,18.707902950045074
93,1954,1.93,18.568791422400494
94,1955,1.93,18.63837622719812
95,1956,1.93,18.364240639589884
96,1957,1.9,17.499923201890415
97,1958,2.08,18.62740687555645
98,1959,2.08,18.499363377067883
99,1960,1.9,16.612733084709642
100,1961,1.8,15.58066289140573
101,1962,1.8,15.425652723575002
102,1963,1.8,15.224395801122956
103,1964,1.8,15.027920426249699
104,1965,1.8,14.789149451939291
105,1966,1.8,14.378466031355671
106,1967,1.8,13.94790884918367
107,1968,1.8,13.38670578133944
108,1969,1.8,12.693710563810297
109,1970,1.8,12.006712730228678
110,1971,2.24,14.314561737882983
111,1972,2.48,15.355455213359544
112,1973,3.29,19.177685160952628
113,1974,11.58,60.79139331290616
114,1975,11.53,55.46670158441197
115,1976,12.8,58.22138460191966
116,1977,13.92,59.44979345860955
117,1978,14.02,55.65255009292971
118,1979,31.61,112.68619881102092
119,1980,36.83,115.68004099640399
120,1981,35.93,102.30033903102687
121,1982,32.97,88.42504941297896
122,1983,29.55,76.78592125
123,1984,28.78,71.68986012254256
124,1985,27.56,66.29013460455572
125,1986,14.43,34.07531374954562
126,1987,18.4350393700787,42.00013452050027
127,1988,14.9238416988417,32.649738598011076
128,1989,18.22611328125,38.04123796484998
129,1990,23.7258203125,46.9817045511149
130,1991,20.0009143968872,38.00644213236011
131,1992,19.3208365758755,35.641180469995
132,1993,16.9716342412451,30.397665430218314
133,1994,15.817626459144,27.623397404240404
134,1995,17.0166796875,28.898439535307425
135,1996,20.668488372093,34.09334048897783
136,1997,19.0925875486381,30.787492266262
137,1998,12.7156614785992,20.18988256758772
138,1999,17.9700778210117,27.916320681863507
139,2000,28.49544921875,42.82777977943724
140,2001,24.4438910505837,35.722038642583925
141,2002,25.0232558139535,35.99946781806805
142,2003,28.830703125,40.55275536743528
143,2004,38.265,52.426866580253964
144,2005,54.5210894941634,72.25137439772685
145,2006,65.1440625,83.63094178817128
146,2007,72.3890784313725,90.35841169508429
147,2008,97.255972762646,116.90955194012757
148,2009,61.6712648221344,74.39857731838984
149,2010,79.495533596838,94.35355316993744
150,2011,111.255597609562,128.00894318758733
151,2012,111.669702380952,125.88057315705296
152,2013,108.658517786561,120.71787849376402
153,2014,98.9460079051383,108.17267526922045
154,2015,52.3867588932806,57.20380982431775
155,2016,43.7341699604743,47.16073041773747
156,2017,54.1924404761905,57.21947339956386
157,2018,71.3100597609562,73.4619397090761
158,2019,64.2105731225296,65.00272748169866
159,2020,41.8383464566929,41.8383464566929
